GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
2	rs4072527	2	176239849	rs4972755	2010-04-15	20351715	Liu Y	2010-03-30	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20351715	Meta-analysis of genome-wide association data of bipolar disorder and major depressive disorder.	Bipolar disorder or major depressive disorder	4,387 European and unknown ancestry bipolar disorder cases, 1,695 major depressive disorder cases, 7,970 European and unknown ancestry controls	NA	2q31.1	intergenic					NA	NA	rs4972755-?	rs4972755	0	4972755	intron_variant	1	NR	3E-6	5.52287874528034		NA		Affymetrix, Perlegen [1472580] (imputed)	N
2	rs4072527	2	176309553	rs2437927	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Systolic blood pressure	approximately 422,000 European ancestry individuals	NA	2q31.1						NA	NA	rs2437927-?	rs2437927	0	2437927	intron_variant	1	NR	1E-8	8		NA		NR [~ 8900000] (imputed)	N
2	rs4072527	2	176425113	rs448000 x rs7588371	2020-07-28	32450446	Wang H	2020-04-29	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/32450446	Genome-wide interaction analysis of pathological hallmarks in Alzheimer's disease.	Total PHF-tau (SNP x SNP interaction)	1,285 individuals	NA	2q31.1	NR x NR	No mapped genes				NA	NA	rs448000-? x rs7588371-?	rs448000 x rs7588371	0	NA	intron_variant x regulatory_region_variant	NA	NR	7E-12	11.1549019599857		NA		Affymetrix, Illumina [279409] (imputed)	N
2	rs4072527	2	176445799	rs12616030	2022-08-30	32193382	Cole JB	2020-03-19	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32193382	Comprehensive genomic analysis of dietary habits in UK Biobank identifies hundreds of genetic associations.	Raw vegetable consumption	443,633 European ancestry individuals	NA	2q31.1		RPS15AP14 - EXTL2P1	ENSG00000233131	ENSG00000223976		396464	261816	rs12616030-G	rs12616030	0	12616030	regulatory_region_variant	1	0.758033	5E-8	7.30102999566398		0.0134532	[0.0086-0.0183] unit decrease	NR [NR] (imputed)	N
2	rs4072527	2	176446336	rs12616186	2022-07-18	33983923	Hoskens H	2021-05-13	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33983923	3D facial phenotyping by biometric sibling matching used in contemporary genomic methodologies.	Sib-shared facial trait 633; Facial segment 27; 3D morphology of the chin and inner jaw	8,246 European ancestry individuals	NA	2q31.1		RPS15AP14 - EXTL2P1	ENSG00000233131	ENSG00000223976		397001	261279	rs12616186-?	rs12616186	0	12616186	intergenic_variant	1	NR	4E-9	8.39794000867204		0.021750683	[0.014-0.029] unit decrease	Illumina [7417619] (imputed)	N
2	rs4072527	2	176451226	rs4281874	2020-07-08	32066663	Niarchou M	2020-02-03	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/32066663	Genome-wide association study of dietary intake in the UK biobank study and its associations with schizophrenia and other traits.	Raw vegetable consumption	335,576 European ancestry individuals	NA	2q31.1	intergenic					NA	NA	rs4281874-?	rs4281874	0	4281874	intergenic_variant	1	NR	2E-8	7.69897000433602		0.0155421	[0.01-0.021] unit decrease	Affymetrix [25921788] (imputed)	N
2	rs4072527	2	176458330	rs199844114	2022-08-05	35835914	Watanabe K	2022-07-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35835914	Genome-wide meta-analysis of insomnia prioritizes genes associated with metabolic and psychiatric pathways.	Insomnia	593,724 European ancestry cases, 1,771,286 European ancestry controls	NA	2q31.1		RPS15AP14 - EXTL2P1	ENSG00000233131	ENSG00000223976		408995	249285	rs199844114-T	rs199844114	0	199844114	upstream_gene_variant	1	NR	9E-10	9.04575749056067		0.006	[0.004-0.008] unit increase	Illumina [10713943] (imputed)	N
2	rs4072527	2	176473295	rs7571486	2019-06-25	30804565	Jansen PR	2019-02-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30804565	Genome-wide analysis of insomnia in 1,331,010 individuals identifies new risk loci and functional pathways.	Insomnia	651,923 European ancestry males, 679,087 European ancestry females	NA	2q31.1	NR					NA	NA	rs7571486-G	rs7571486	0	7571486	intergenic_variant	1	0.749	1E-8	8		1.0395011	[1.03-1.05]	Affymetrix, Illumina [NR] (imputed)	N
2	rs4072527	2	176495395	rs6084547 x rs4072816	2020-07-28	32450446	Wang H	2020-04-29	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/32450446	Genome-wide interaction analysis of pathological hallmarks in Alzheimer's disease.	Total PHF-tau (SNP x SNP interaction)	1,285 individuals	NA	2q31.1	NR x NR	No mapped genes				NA	NA	rs6084547-? x rs4072816-?	rs6084547 x rs4072816	0	NA	intron_variant x regulatory_region_variant	NA	NR	8E-9	8.09691001300806		NA		Affymetrix, Illumina [279409] (imputed)	N
2	rs4072527	2	176532019	rs1446802	2021-11-29	33893285	Guindo-Martinez M	2021-04-23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33893285	The impact of non-additive genetic associations on age-related complex diseases.	Hypertension	28,391 European ancestry cases, 28,246 European ancestry controls	NA	2q31.1		RPS15AP14 - EXTL2P1	ENSG00000233131	ENSG00000223976		482684	175596	rs1446802-G	rs1446802	0	1446802	intergenic_variant	1	0.5001059	2E-6	5.69897000433602		1.07		Affymetrix [15650645] (imputed)	N
