GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000131591	1	1017198	1051741	8	1	54981	0.46485	0.32102	C1orf159
ENSG00000162571	1	1109264	1133315	1	1	54552	-0.42697	0.6653	TTLL10
ENSG00000186827	1	1146706	1149518	1	1	54328	-0.19959	0.5791	TNFRSF4
ENSG00000078808	1	1152288	1167411	47	1	54992	0.075195	0.47003	SDF4
ENSG00000221978	1	1321091	1334708	4	1	55167	0.27425	0.39195	CCNL2
ENSG00000224870	1	1334902	1337426	3	1	55255	0.39265	0.34729	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	1	1	55203	0.42615	0.335	MRPL20
ENSG00000160075	1	1477053	1510249	15	1	54163	0.56517	0.28598	SSU72
ENSG00000008130	1	1682671	1711896	10	2	55061	0.88044	0.18931	NADK
ENSG00000078369	1	1716729	1822495	43	5	55165	-0.55827	0.71167	GNB1
ENSG00000169885	1	1846266	1848735	1	1	55091	-1.4647	0.9285	CALML6
ENSG00000142609	1	1853396	1935276	16	2	55068	-1.8935	0.97086	C1orf222
ENSG00000187730	1	1950780	1962192	1	1	55070	2.0638	0.01952	GABRD
ENSG00000067606	1	1981909	2116834	203	18	54942	-1.8799	0.96994	PRKCZ
ENSG00000162585	1	2115903	2144159	10	3	54731	-1.0289	0.84824	C1orf86
ENSG00000157933	1	2160134	2241558	6	3	54952	0.024159	0.49036	SKI
ENSG00000116151	1	2252692	2323146	5	2	54573	0.78959	0.21488	MORN1
ENSG00000157916	1	2323267	2336883	1	1	55267	0.15833	0.4371	RER1
ENSG00000157873	1	2487078	2496821	1	1	54878	-0.22909	0.5906	TNFRSF14
ENSG00000157870	1	2517930	2522908	3	1	54969	0.70658	0.23991	FAM213B
ENSG00000142606	1	2522078	2564481	58	1	55139	0.92589	0.17725	MMEL1
ENSG00000142611	1	2985732	3355185	82	20	54884	-0.69188	0.75549	PRDM16
ENSG00000130762	1	3370990	3397677	3	1	55120	1.9854	0.023547	ARHGEF16
ENSG00000162591	1	3406484	3528059	3	1	55107	-0.95241	0.82956	MEGF6
ENSG00000158109	1	3541566	3546691	3	1	54809	1.4645	0.071535	TPRG1L
ENSG00000116213	1	3547331	3569325	6	1	54878	1.5555	0.059908	WRAP73
ENSG00000078900	1	3569084	3652765	4	1	54638	-0.23587	0.59323	TP73
