GENE	SYMBOL	CHR	START	STOP	Nsnps_ibs	Nsnps_dep	P_ibs	P_dep
ENSG00000174950	CD164L2	1	27705666	27709870	1	1	0.03706	0.0417
ENSG00000176261	ZBTB8OS	1	33065773	33116504	84	84	0.00979	0.010611
ENSG00000162521	RBBP4	1	33116743	33151812	70	70	0.026309	0.012564
ENSG00000162520	SYNC	1	33145507	33169197	46	46	0.027513	0.012747
ENSG00000184155	OR10J5	1	159504793	159505842	1	1	0.008363	0.02889
ENSG00000122223	CD244	1	160799950	160832692	80	80	0.029846	0.041445
ENSG00000226124	FTCDNL1	2	200625267	200715896	53	53	0.02837	0.0037492
ENSG00000215203	GRXCR1	4	42895284	43032675	256	257	0.021353	0.042613
ENSG00000029559	IBSP	4	88720733	88733074	1	1	0.01215	0.004862
ENSG00000164175	SLC45A2	5	33944721	33984835	41	41	0.017312	0.0090906
ENSG00000122335	SERAC1	6	158530536	158589312	49	49	0.032119	0.044325
ENSG00000164850	GPER1	7	1121844	1133451	5	5	0.049526	0.040784
ENSG00000136247	ZDHHC4	7	6617065	6629005	1	1	0.04441	0.02774
ENSG00000005421	PON1	7	94926988	95025673	94	94	0.040723	0.016227
ENSG00000105852	PON3	7	94989256	95025680	19	19	0.032073	0.041543
ENSG00000196711	FAM150A	8	53446597	53478067	28	28	0.04309	0.025868
ENSG00000170312	CDK1	10	62538089	62554610	15	15	0.0059051	0.0037358
ENSG00000185989	RASA3	13	114747194	114898086	29	29	0.015252	0.018511
ENSG00000100565	C14orf166B	14	77292715	77336645	46	46	0.0039715	0.0028817
ENSG00000166411	IDH3A	15	78423840	78464291	31	31	0.0146	0.030813
ENSG00000196859	KRT39	17	39114669	39123144	10	10	0.038717	0.020215
ENSG00000105662	CRTC1	19	18794487	18893004	68	68	0.020483	0.025705
ENSG00000183760	PAPL	19	39574553	39602133	20	20	0.045434	0.019052
ENSG00000104859	CLASRP	19	45542298	45574214	5	5	0.015306	0.017254
ENSG00000172296	SPTLC3	20	12989627	13147411	153	153	0.038087	0.025136
ENSG00000171858	RPS21	20	60962172	60963576	1	1	0.02853	0.01362
ENSG00000149679	CABLES2	20	60963688	60982341	27	27	0.026111	0.014785
ENSG00000256073	C21orf119	21	33765439	33766254	1	1	0.03042	0.04772
