GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000131591	1	1017198	1051741	8	1	55035	1.0215	0.15351	C1orf159
ENSG00000162571	1	1109264	1133315	1	1	54552	0.11821	0.45295	TTLL10
ENSG00000078808	1	1152288	1167411	40	1	54992	0.22298	0.41178	SDF4
ENSG00000175756	1	1309110	1310875	1	1	55087	0.56883	0.28473	AURKAIP1
ENSG00000221978	1	1321091	1334708	2	1	55124	0.29291	0.38479	CCNL2
ENSG00000224870	1	1334902	1337426	3	1	55255	0.477	0.31668	RP4-758J18.2
ENSG00000160075	1	1477053	1510249	11	1	54108	0.41622	0.33862	SSU72
ENSG00000008130	1	1682671	1711896	7	2	55066	0.90249	0.1834	NADK
ENSG00000078369	1	1716729	1822495	41	5	55165	-0.44021	0.67011	GNB1
ENSG00000169885	1	1846266	1848735	1	1	55091	-1.6859	0.95409	CALML6
ENSG00000142609	1	1853396	1935276	13	2	55042	-2.4027	0.99186	C1orf222
ENSG00000187730	1	1950780	1962192	1	1	55070	2.1202	0.016993	GABRD
ENSG00000067606	1	1981909	2116834	173	17	54963	-0.92444	0.82237	PRKCZ
ENSG00000162585	1	2115903	2144159	10	3	54725	-0.53067	0.70218	C1orf86
ENSG00000157933	1	2160134	2241558	4	2	55025	0.70821	0.23941	SKI
ENSG00000116151	1	2252692	2323146	3	2	54168	0.16979	0.43259	MORN1
ENSG00000157916	1	2323267	2336883	1	1	55267	-0.11815	0.54703	RER1
ENSG00000157873	1	2487078	2496821	1	1	54878	-0.5409	0.70571	TNFRSF14
ENSG00000157870	1	2517930	2522908	3	1	54969	0.5249	0.29983	FAM213B
ENSG00000142606	1	2522078	2564481	52	1	55137	0.88136	0.18906	MMEL1
ENSG00000169717	1	2938046	2939465	1	1	55192	0.39797	0.34533	ACTRT2
ENSG00000142611	1	2985732	3355185	69	18	54854	-1.042	0.85128	PRDM16
ENSG00000130762	1	3370990	3397677	3	1	55120	1.9122	0.027926	ARHGEF16
ENSG00000162591	1	3406484	3528059	3	1	54785	0.8364	0.20147	MEGF6
ENSG00000158109	1	3541566	3546691	3	1	54809	0.88575	0.18788	TPRG1L
ENSG00000116213	1	3547331	3569325	5	1	54859	0.94271	0.17291	WRAP73
ENSG00000078900	1	3569084	3652765	4	1	54638	-0.29554	0.61621	TP73
ENSG00000162592	1	3668962	3688209	2	1	55267	-1.7708	0.9617	CCDC27
ENSG00000130764	1	3696784	3713068	21	1	55084	-0.51484	0.69667	LRRC47
ENSG00000116198	1	3728645	3773778	99	6	55217	-1.0779	0.85945	CEP104
ENSG00000169598	1	3773845	3801993	23	2	55132	-0.43995	0.67001	DFFB
ENSG00000198912	1	3805689	3816857	8	2	54918	-0.56365	0.7135	C1orf174
ENSG00000196581	1	4714792	4852594	169	24	54883	0.72364	0.23464	AJAP1
ENSG00000131697	1	5922871	6052533	135	5	55194	-0.95157	0.82934	NPHP4
ENSG00000069424	1	6051526	6161253	25	4	55009	0.45195	0.32565	KCNAB2
ENSG00000116254	1	6161853	6240183	11	4	54766	-0.66795	0.74792	CHD5
ENSG00000116251	1	6241329	6269449	7	2	54099	0.12958	0.44845	RPL22
ENSG00000158286	1	6265535	6281359	1	1	54904	1.1898	0.11706	RNF207
ENSG00000116237	1	6281253	6296032	1	1	55267	0.56272	0.28681	ICMT
ENSG00000097021	1	6324329	6454451	38	2	54862	-0.077712	0.53097	ACOT7
ENSG00000069812	1	6472478	6484730	1	1	55194	0.30186	0.38138	HES2
ENSG00000171680	1	6526152	6580121	7	1	54652	0.86675	0.19304	PLEKHG5
ENSG00000162408	1	6581407	6614595	2	1	54820	-1.2846	0.90053	NOL9
ENSG00000173662	1	6615241	6639817	7	2	54513	-0.94822	0.82849	TAS1R1
ENSG00000162413	1	6650784	6674667	17	2	54705	1.0568	0.1453	KLHL21
ENSG00000116273	1	6673745	6684093	11	2	54915	0.51029	0.30493	PHF13
ENSG00000041988	1	6684926	6695646	15	2	54860	-0.15351	0.561	THAP3
ENSG00000007923	1	6694228	6761984	34	2	54930	-0.26202	0.60335	DNAJC11
ENSG00000171735	1	6845384	7829766	566	66	54901	-0.29973	0.61781	CAMTA1
ENSG00000049245	1	7831329	7841492	1	1	55267	1.0234	0.15307	VAMP3
ENSG00000049246	1	7844380	7905237	48	5	55048	-1.1629	0.87755	PER3
ENSG00000049247	1	7903143	7913572	4	2	54451	-0.51028	0.69507	UTS2
ENSG00000049249	1	7979907	8000926	20	2	54334	0.46675	0.32034	TNFRSF9
ENSG00000116288	1	8014351	8045565	18	3	55110	0.47173	0.31856	PARK7
ENSG00000116285	1	8064464	8086368	20	2	55091	0.80908	0.20923	ERRFI1
ENSG00000162426	1	8377886	8404227	18	2	54632	-1.6748	0.95302	SLC45A1
ENSG00000142599	1	8412457	8877702	195	8	55173	-0.28487	0.61213	RERE
ENSG00000074800	1	8921061	8939308	13	2	54999	1.2827	0.099793	ENO1
ENSG00000131686	1	9005926	9035151	7	3	54596	-0.34575	0.63524	CA6
ENSG00000197241	1	9063359	9086404	12	5	54905	0.77137	0.22025	SLC2A7
ENSG00000142583	1	9095166	9148537	33	6	54833	0.085054	0.46611	SLC2A5
ENSG00000180758	1	9160364	9189229	10	2	54564	2.5244	0.0057944	GPR157
ENSG00000049239	1	9294834	9331396	22	3	55047	0.83003	0.20326	H6PD
ENSG00000171621	1	9352939	9429591	5	2	55047	1.8354	0.033221	SPSB1
ENSG00000171612	1	9599541	9645237	19	2	55104	-0.11797	0.54695	SLC25A33
