ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000228219	NA	NPM1P30	NPM1P30	NA	NA	NA
ENSG00000148444	23412	COMMD3	COMMD3	NA	Q9UBI1	NA
ENSG00000269897	100532731	COMMD3-BMI1	COMMD3-BMI1	164831	NA	NA
ENSG00000168283	648	BMI1	BMI1	164831	P35226	NA
ENSG00000272516	NA	RP11-573G6.9	NA	NA	NA	NA
ENSG00000271981	NA	RP11-573G6.8	NA	NA	NA	NA
ENSG00000272366	NA	RP11-573G6.10	NA	NA	NA	NA
ENSG00000077327	9576	SPAG6	SPAG6	605730	O75602	NA
ENSG00000165309	219681	ARMC3	ARMC3	611226	Q5W041	NA
ENSG00000148450	22921	MSRB2	MSRB2	613782	Q9Y3D2	NA
ENSG00000252049	NA	SNORA40	NA	NA	NA	NA
ENSG00000168267	256297	PTF1A	PTF1A	607194	Q7RTS3	NA
ENSG00000204566	NA	C10orf115	C10orf115	NA	Q5QP74	NA
ENSG00000227537	NA	RP11-215C7.3	NA	NA	NA	NA
ENSG00000179133	256815	C10orf67	C10orf67	NA	Q8IYJ2	NA
ENSG00000224215	NA	RP11-371A19.2	NA	NA	NA	NA
ENSG00000264574	100616217	MIR1254-2	MIR1254-2	NA	NA	NA
ENSG00000238515	NA	snoU13	NA	NA	NA	NA
ENSG00000165312	220213	OTUD1	OTUD1	612022	Q5VV17	NA
ENSG00000223928	NA	RP11-183E9.2	NA	NA	NA	NA
ENSG00000207930	693188	MIR603	MIR603	NA	NA	NA
ENSG00000269879	NA	AL353583.1	NA	NA	NA	NA
ENSG00000151023	219670	ENKUR	ENKUR	611025	Q8TC29	NA
ENSG00000185875	79896	THNSL1	THNSL1	611260	Q8IYQ7	DB00114:DB00156
ENSG00000231422	NA	RP11-80K21.3	NA	NA	NA	NA
